Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/05,Use Me,PLAZA,,Nocturnes,238,R&B,Alternative R&B,147,B Minor,2021/10/01
2023/02/05,Locations,LVNDVN,,HYPRWRLD,219,R&B,Alternative R&B,92,B Minor,2019/04/12
2023/02/05,Cash Flow,TYuS,,Cash Flow,194,R&B,Trap Soul,99,G# Major,2015/11/24
2023/02/05,Phone Me,Che Ecru,,Phone Me,134,R&B,Indie R&B,87,B Minor,2019/06/27
2023/02/05,I Want Her Too,Artie J,,Emotional Indulgence,172,R&B,Trap Soul,90,B Minor,2021/10/08
2023/02/05,Unwanted,Artie J,,Emotional Indulgence,250,R&B,Trap Soul,118,C# Minor,2021/10/08
2023/02/05,Missing You,Artie J,,Emotional Indulgence,247,R&B,Trap Soul,62,F# Minor,2021/10/08
2023/02/06,Kinda Like It,Black Atlass,,Pain & Pleasure,265,R&B,Alternative R&B,83,B Minor,2018/07/12
2023/02/06,Single,The Neighbourhood,,Wiped Out!,262,Rock,Alternative Rock,54,D Minor,2015/10/30
2023/02/06,In Too Deep,Artie J,,Trap Girls Club,271,R&B,Trap Soul,152,A# Minor,2021/01/10
2023/02/06,More 2 Us,TYuS,,More 2 Us,228,R&B,Trap Soul,74,F# Minor,2020/06/16
2023/02/06,Stick Talk,Future,,DS2 (Deluxe),171,Hip-Hop,Trap,160,G Major,2015/07/17
2023/02/06,Where Ya At (feat. Drake),Future,Drake,DS2 (Deluxe),208,Hip-Hop,Trap,162,C# Major,2015/07/17
2023/02/06,Get Even,PLAZA,,Nocturnes,200,R&B,Alternative R&B,155,F Minor,2021/10/01
2023/02/06,R.I.P. 2 My Youth,The Neighbourhood,,Wiped Out!,205,Rock,Alternative Rock,94,G Minor,2015/10/30
2023/02/06,You Know,Lyfe Harris,,Nothing New,179,R&B,Trap Soul,89,F Minor,2021/02/10
2023/02/06,Find Her,Lyfe Harris,,Nothing New,133,R&B,Trap Soul,89,F# Minor,2021/02/10
2023/02/06,Heartbreaker,Tilladre,,Heartbreaker,234,R&B,Alternative R&B,82,A Major,2020/08/28
2023/02/06,Twenty Eight,The Weeknd,,Trilogy,258,R&B,Alternative R&B,130,D# Minor,2012/11/13
2023/02/06,Often,The Weeknd,,Beauty Behind The Madness,249,R&B,Alternative R&B,134,G Minor,2015/08/28
2023/02/06,The Zone,The Weeknd,Drake,Trilogy,418,R&B,Alternative R&B,140,D# Minor,2012/11/13
2023/02/06,Government Official,Future,,SAVE ME,150,Hip-Hop,Trap,145,C# Major,2019/06/07
2023/02/06,brand new,Alley,"Lev, Svi",brand new,212,R&B,Trap Soul,134,E Minor,2022/01/28
2023/02/06,WAIT FOR U (feat. Drake & Tems),Future,"Drake, Tems",I NEVER LIKED YOU,189,Hip-Hop,Trap,83,C# Major,2022/04/29
2023/02/06,Live For,The Weeknd,Drake,Kiss Land,222,R&B,Alternative R&B,76,C Major,2013/01/01
